,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
1675,e,14,278,0.01,0.06,59.30,0.00000,2.35,x<y
5556,us,288,634,0.25,0.14,59.18,0.00000,0.82,x>y
2734,inner,6,206,0.01,0.05,58.72,0.00000,3.14,x<y
3270,mean,43,478,0.04,0.11,58.37,0.00000,1.52,x<y
566,black,32,11,0.03,0.00,57.70,0.00000,3.50,x>y
4665,senator,55,45,0.05,0.01,57.53,0.00000,2.25,x>y
2803,investment,26,5,0.02,0.00,57.42,0.00000,4.34,x>y
5636,wage,31,10,0.03,0.00,57.41,0.00000,3.59,x>y
2456,health,75,83,0.07,0.02,57.40,0.00000,1.81,x>y
3184,mails,9,230,0.01,0.05,57.15,0.00000,2.72,x<y
1512,disabilities,18,0,0.02,0.00,57.13,0.00000,7.13,x>y
3178,maggie,18,0,0.02,0.00,57.13,0.00000,7.13,x>y
5433,tuition,18,0,0.02,0.00,57.13,0.00000,7.13,x>y
2568,horrible,4,181,0.00,0.04,56.95,0.00000,3.54,x<y
2191,friends,92,120,0.08,0.03,56.74,0.00000,1.58,x>y
6424,cash,0,123,0.00,0.03,56.30,0.00000,5.98,x<y
1165,convention,44,28,0.04,0.01,56.24,0.00000,2.61,x>y
528,best,81,97,0.07,0.02,56.16,0.00000,1.70,x>y
216,americans,172,319,0.15,0.07,55.94,0.00000,1.07,x>y
5792,working,153,270,0.13,0.06,55.57,0.00000,1.14,x>y
3638,opportunities,32,12,0.03,0.00,55.49,0.00000,3.37,x>y
2380,guy,13,258,0.01,0.06,55.01,0.00000,2.35,x<y
4689,serving,25,5,0.02,0.00,54.60,0.00000,4.28,x>y
3192,make,375,913,0.33,0.21,54.30,0.00000,0.68,x>y
5283,thousands,16,279,0.01,0.06,54.10,0.00000,2.16,x<y
5237,text,17,0,0.01,0.00,53.96,0.00000,7.05,x>y
5409,trillion,1,136,0.00,0.03,53.59,0.00000,5.13,x<y
3600,oh,21,313,0.02,0.07,53.06,0.00000,1.94,x<y
5799,worse,6,191,0.01,0.04,52.75,0.00000,3.03,x<y
2489,here,362,880,0.32,0.20,52.73,0.00000,0.68,x>y
8150,lied,0,115,0.00,0.03,52.63,0.00000,5.89,x<y
3518,nice,6,190,0.01,0.04,52.35,0.00000,3.03,x<y
916,cities,15,265,0.01,0.06,51.91,0.00000,2.18,x<y
4996,stood,24,5,0.02,0.00,51.80,0.00000,4.22,x>y
5571,values,52,45,0.05,0.01,51.67,0.00000,2.17,x>y
5648,wall,28,356,0.02,0.08,51.27,0.00000,1.71,x<y
2439,have,980,4861,0.86,1.09,50.92,0.00000,0.35,x<y
2762,insulting,16,0,0.01,0.00,50.78,0.00000,6.96,x>y
3335,millionaires,16,0,0.01,0.00,50.78,0.00000,6.96,x>y
5344,total,2,142,0.00,0.03,50.26,0.00000,4.19,x<y
5788,worked,56,54,0.05,0.01,50.00,0.00000,2.01,x>y
2306,government,27,345,0.02,0.08,49.96,0.00000,1.72,x<y
5723,when,361,890,0.32,0.20,49.76,0.00000,0.66,x>y
556,bin,18,1,0.02,0.00,49.75,0.00000,6.13,x>y
2970,laden,18,1,0.02,0.00,49.75,0.00000,6.13,x>y
3002,launch,18,1,0.02,0.00,49.75,0.00000,6.13,x>y
2827,issues,35,19,0.03,0.00,49.74,0.00000,2.84,x>y
1315,daughter,28,10,0.02,0.00,49.65,0.00000,3.44,x>y
5146,table,27,9,0.02,0.00,49.33,0.00000,3.54,x>y
6895,depleted,0,107,0.00,0.02,48.97,0.00000,5.78,x<y
8793,pouring,0,107,0.00,0.02,48.97,0.00000,5.78,x<y
2160,forward,40,27,0.04,0.01,48.97,0.00000,2.53,x>y
936,clean,58,59,0.05,0.01,48.90,0.00000,1.93,x>y
1869,everything,102,156,0.09,0.04,48.86,0.00000,1.35,x>y
4485,rigged,4,161,0.00,0.04,48.72,0.00000,3.37,x<y
1863,ever,77,641,0.07,0.14,48.51,0.00000,1.10,x<y
2293,gonna,33,379,0.03,0.09,48.30,0.00000,1.56,x<y
5296,thrives,15,0,0.01,0.00,47.61,0.00000,6.87,x>y
5521,universities,15,0,0.01,0.00,47.61,0.00000,6.87,x>y
53,across,89,128,0.08,0.03,47.28,0.00000,1.44,x>y
5686,weapons,48,42,0.04,0.01,47.20,0.00000,2.15,x>y
1204,country,324,1867,0.28,0.42,46.75,0.00000,0.57,x<y
5425,trumps,17,1,0.01,0.00,46.69,0.00000,6.05,x>y
5511,unions,17,1,0.01,0.00,46.69,0.00000,6.05,x>y
195,almost,5,166,0.00,0.04,46.67,0.00000,3.09,x<y
532,between,52,50,0.05,0.01,46.57,0.00000,2.02,x>y
4599,says,77,102,0.07,0.02,46.43,0.00000,1.55,x>y
143,ago,28,340,0.02,0.08,46.42,0.00000,1.64,x<y
2640,ii,22,5,0.02,0.00,46.24,0.00000,4.10,x>y
1310,dark,23,6,0.02,0.00,46.18,0.00000,3.90,x>y
3402,more,352,880,0.31,0.20,45.85,0.00000,0.64,x>y
424,badly,1,118,0.00,0.03,45.63,0.00000,4.92,x<y
1032,commitment,18,2,0.02,0.00,45.04,0.00000,5.13,x>y
4051,problem,10,206,0.01,0.05,45.04,0.00000,2.41,x<y
3721,paid,53,54,0.05,0.01,44.61,0.00000,1.93,x>y
2833,iwillvote,14,0,0.01,0.00,44.43,0.00000,6.77,x>y
9680,stupid,0,97,0.00,0.02,44.40,0.00000,5.64,x<y
4892,special,20,279,0.02,0.06,44.35,0.00000,1.84,x<y
3527,no,168,1097,0.15,0.25,44.33,0.00000,0.75,x<y
5352,toward,29,14,0.03,0.00,44.18,0.00000,3.01,x>y
149,ahead,64,77,0.06,0.02,44.11,0.00000,1.69,x>y
4185,radical,1,114,0.00,0.03,43.87,0.00000,4.87,x<y
1244,crime,6,168,0.01,0.04,43.74,0.00000,2.85,x<y
5522,university,21,5,0.02,0.00,43.48,0.00000,4.03,x>y
1001,colleges,22,6,0.02,0.00,43.48,0.00000,3.83,x>y
490,because,488,1326,0.43,0.30,43.25,0.00000,0.52,x>y
5750,willing,27,12,0.02,0.00,43.04,0.00000,3.13,x>y
2035,feel,50,50,0.04,0.01,42.95,0.00000,1.96,x>y
2931,killing,3,136,0.00,0.03,42.82,0.00000,3.54,x<y
3529,nobody,21,281,0.02,0.06,42.79,0.00000,1.78,x<y
5040,student,40,32,0.04,0.01,42.68,0.00000,2.28,x>y
6710,corruption,0,93,0.00,0.02,42.56,0.00000,5.58,x<y
4050,probably,11,207,0.01,0.05,42.51,0.00000,2.27,x<y
5189,teachers,35,24,0.03,0.01,42.34,0.00000,2.50,x>y
1203,countries,32,351,0.03,0.08,42.10,0.00000,1.50,x<y
2326,grandkids,17,2,0.01,0.00,42.09,0.00000,5.05,x>y
3444,muslims,17,2,0.01,0.00,42.09,0.00000,5.05,x>y
908,church,25,10,0.02,0.00,42.05,0.00000,3.28,x>y
3619,one,269,1571,0.24,0.35,41.73,0.00000,0.59,x<y
9039,refugees,0,91,0.00,0.02,41.65,0.00000,5.55,x<y
1705,educators,13,0,0.01,0.00,41.26,0.00000,6.66,x>y
2561,hopeful,13,0,0.01,0.00,41.26,0.00000,6.66,x>y
4437,responders,13,0,0.01,0.00,41.26,0.00000,6.66,x>y
5215,temperamentally,13,0,0.01,0.00,41.26,0.00000,6.66,x>y
9092,renegotiate,0,90,0.00,0.02,41.19,0.00000,5.53,x<y
4997,stop,31,341,0.03,0.08,41.06,0.00000,1.50,x<y
4356,remember,47,438,0.04,0.10,40.95,0.00000,1.26,x<y
4442,responsibility,21,6,0.02,0.00,40.79,0.00000,3.77,x>y
190,allies,33,22,0.03,0.00,40.78,0.00000,2.54,x>y
691,bruce,15,1,0.01,0.00,40.59,0.00000,5.87,x>y
3874,pittsburgh,15,1,0.01,0.00,40.59,0.00000,5.87,x>y
3109,lives,72,100,0.06,0.02,40.43,0.00000,1.49,x>y
7256,establishment,0,88,0.00,0.02,40.28,0.00000,5.50,x<y
2205,full,35,26,0.03,0.01,39.76,0.00000,2.39,x>y
592,bob,16,2,0.01,0.00,39.14,0.00000,4.96,x>y
5533,unqualified,16,2,0.01,0.00,39.14,0.00000,4.96,x>y
4073,progress,21,7,0.02,0.00,38.37,0.00000,3.54,x>y
4933,stake,25,12,0.02,0.00,38.21,0.00000,3.02,x>y
1605,doing,76,589,0.07,0.13,38.14,0.00000,0.99,x<y
4115,prove,18,4,0.02,0.00,38.10,0.00000,4.13,x>y
568,blair,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
1117,consequential,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
1384,degree,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
1540,discrimination,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
1960,fabric,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
4124,proving,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
5198,technical,12,0,0.01,0.00,38.09,0.00000,6.54,x>y
5652,want,488,1359,0.43,0.31,37.89,0.00000,0.48,x>y
487,beautiful,14,216,0.01,0.05,37.79,0.00000,1.99,x<y
2245,general,7,161,0.01,0.04,37.71,0.00000,2.56,x<y
4934,stakes,14,1,0.01,0.00,37.54,0.00000,5.77,x>y
2523,hispanic,1,99,0.00,0.02,37.28,0.00000,4.67,x<y
260,anymore,9,176,0.01,0.04,37.15,0.00000,2.33,x<y
5675,way,134,885,0.12,0.20,37.10,0.00000,0.76,x<y
611,book,23,10,0.02,0.00,37.09,0.00000,3.16,x>y
940,clear,36,30,0.03,0.01,37.04,0.00000,2.22,x>y
3424,movement,11,191,0.01,0.04,36.91,0.00000,2.16,x<y
1194,could,157,331,0.14,0.07,36.72,0.00000,0.88,x>y
4319,regulations,2,110,0.00,0.02,36.63,0.00000,3.82,x<y
98,advanced,22,9,0.02,0.00,36.59,0.00000,3.25,x>y
5510,union,25,13,0.02,0.00,36.47,0.00000,2.90,x>y
